show_id,type,title,countries,month_added,rating,release_year,duration_in_mins,listed_in,,,,,,,,,,,,,,,,,,,,,,,,,
s1,Movie,The Grand Seduction,Canada,March,7+,2014,113,"Comedy, Drama",,,,,,,,,,,,,,,,,,,,,,,,,
s2,Movie,Take Care Good Night,India,March,TV-PG,2018,110,"Drama, International",,,,,,,,,,,,,,,,,,,,,,,,,
s3,Movie,Secrets of Deception,United States,March,R,2017,74,"Action, Drama, Suspense",,,,,,,,,,,,,,,,,,,,,,,,,
s4,Movie,Pink: Staying True,United States,March,NR,2014,69,Documentary,,,,,,,,,,,,,,,,,,,,,,,,,
s5,Movie,Monster Maker,United Kingdom,March,PG,1989,45,"Drama, Fantasy",,,,,,,,,,,,,,,,,,,,,,,,,
s6,Movie,Living With Dinosaurs,United Kingdom,March,ALL,1989,52,"Fantasy, Kids",,,,,,,,,,,,,,,,,,,,,,,,,
s7,Movie,Hired Gun,United States,March,TV-Y7,2017,98,"Documentary, Special Interest",,,,,,,,,,,,,,,,,,,,,,,,,
s8,Movie,Grease Live!,United States,March,UNRATED,2016,131,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,
s9,Movie,Global Meltdown,Canada,March,16+,2017,87,"Action, Science Fiction, Suspense",,,,,,,,,,,,,,,,,,,,,,,,,
s10,Movie,David's Mother,United States,April,UNRATED,1994,92,Drama,,,,,,,,,,,,,,,,,,,,,,,,,
s11,Movie,Forest Fairies,Canada,April,UNRATED,2016,88,"Adventure, Kids",,,,,,,,,,,,,,,,,,,,,,,,,
s12,Movie,Take Care,United States,April,TV-PG,2014,93,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,
s13,Movie,The Night Eats The World,France,April,TV-PG,2018,94,"Horror, Suspense",,,,,,,,,,,,,,,,,,,,,,,,,
s14,Movie,Resilencia,Spain,April,NR,2020,46,"Documentary, Sports",,,,,,,,,,,,,,,,,,,,,,,,,
s15,Movie,Elon Musk: The Real Life Iron Man,United Kingdom,May,PG,2018,74,Documentary,,,,,,,,,,,,,,,,,,,,,,,,,
s16,Movie,Summer '03,United States,June,NR,2019,96,"Comedy, Drama",,,,,,,,,,,,,,,,,,,,,,,,,
s17,Movie,Zoombies,India,January,PG,2016,87,"Horror, Science Fiction",,,,,,,,,,,,,,,,,,,,,,,,,
s18,TV Show,Zoo Babies,India,July,TV-PG,2008,360,"Kids, Special Interest",,,,,,,,,,,,,,,,,,,,,,,,,
