type,title,country,month_added,release_year,rating,listed_in,duration_in_mins,,,,show_id,director,cast,description
Movie,Duck the Halls: A Mickey Mouse Christmas Special,Others,November,2016,TV-G,"Animation, Family",23,,,,s1,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",Join Mickey and the gang as they duck the halls!
Movie,Ernest Saves Christmas,Others,November,1988,PG,Comedy,91,,,,s2,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",Santa Claus passes his magic bag to a new St. Nic.
Movie,Ice Age: A Mammoth Christmas,United States,November,2011,TV-G,"Animation, Comedy, Family",23,,,,s3,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",Sid the Sloth is on Santa's naughty list.
Movie,The Queen Family Singalong,Others,November,2021,TV-PG,Musical,41,,,,s4,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen","This is real life, not just fantasy!"
TV Show,The Beatles: Get Back,Others,November,2021,Others,"Docuseries, Historical, Music",360,,,,s5,Others,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.
Movie,Becoming Cousteau,United States,November,2021,PG-13,"Biographical, Documentary",94,,,,s6,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.
TV Show,Hawkeye,Others,November,2021,TV-14,"Action-Adventure, Superhero",360,,,,s7,Others,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.
TV Show,Port Protection Alaska,United States,November,2015,TV-14,"Docuseries, Reality, Survival",720,,,,s8,Others,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.
TV Show,Secrets of the Zoo: Tampa,United States,November,2019,TV-PG,"Animals & Nature, Docuseries, Family",720,,,,s9,Others,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!
Movie,A Muppets Christmas: Letters To Santa,United States,November,2008,G,"Comedy, Family, Musical",45,,,,s10,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",Celebrate the holiday season with all your favorite Muppets.
Movie,Adventure Thru the Walt Disney Archives,Others,November,2020,TV-PG,Documentary,59,,,,s11,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",Explore the treasures and rich history of the Walt Disney Archives.
Movie,Puppy for Hanukkah,Others,November,2020,TV-G,"Comedy, Family, Music",4,,,,s12,Others,Others,"Check out Daveed Digg's official music video ""Puppy for Hanukkah!"""
Movie,The Pixar Story,United States,November,2007,G,"Documentary, Family",91,,,,s13,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",A groundbreaking company forever changes the face of filmmaking.
TV Show,"Dr. Oakley, Yukon Vet",United States,November,2013,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",3600,,,,s14,Others,"Dr. Michelle Oakley, Zachary Fine","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon."
Movie,America the Beautiful,Others,November,2021,TV-PG,Animals & Nature,2,,,,s15,Others,Michael B. Jordan,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022."
Movie,Baymax!,Others,November,2021,TV-G,Animation,1,,,,s16,Others,Others,“Baymax!” premieres on Disney+ summer 2022.
Movie,Ciao Alberto,Others,November,2021,TV-PG,"Animation, Comedy, Family",8,,,,s17,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.
TV Show,Disney Fancy Nancy,"United States, Canada",November,2018,TV-PG,"Animation, Kids",1080,,,,s18,Others,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath",Nancy makes every day extraordinary!
TV Show,Disney Intertwined,Others,November,2021,TV-PG,"Comedy, Coming of Age, Drama",360,,,,s19,Others,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",Allegra is ready to change the past in order to reach her dream.
Movie,Enchanted,United States,November,2007,PG,"Comedy, Family, Fantasy",110,,,,s20,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",An animated princess winds up in the real world of modern-day Manhattan.
Movie,Feast,United States,November,2014,G,"Animation, Comedy, Drama",8,,,,s21,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",One man's love life seen through the eyes of his dog.
Movie,Frozen Fever,United States,November,2015,G,"Animation, Family, Fantasy",11,,,,s22,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",Elsa wants to give Anna the best birthday party ever.
Movie,Get a Horse!,United States,November,2013,G,"Action-Adventure, Animation, Comedy",7,,,,s23,Lauren MacMullan,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",Mickey and friends hitch a ride on a musical hay wagon.
Movie,Home Sweet Home Alone,United States,November,2021,PG,"Comedy, Family",95,,,,s24,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers."
Movie,Jungle Cruise,United States,November,2021,PG-13,"Action-Adventure, Comedy, Family",129,,,,s25,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.
Movie,Limitless with Chris Hemsworth,Others,November,2021,TV-14,Lifestyle,2,,,,s26,Others,Chris Hemsworth,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022."
Movie,Marvel Studios’ 2021 Disney+ Day Special,Others,November,2021,TV-PG,Movies,14,,,,s27,Others,Others,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future."
Movie,Obi-Wan Kenobi,Others,November,2021,TV-PG,"Action-Adventure, Science Fiction",1,,,,s28,Others,Others,"A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022."
TV Show,Olaf Presents,Others,November,2021,TV-PG,"Animation, Family",360,,,,s29,Others,Josh Gad,Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.
Movie,Paperman,United States,November,2012,G,"Animation, Comedy, Family",7,,,,s30,John Kahrs,"John Kahrs, Kari Wahlgren",A young man strives to find girl of his dreams.
Movie,Pixar 2021 Disney+ Day Special,Others,November,2021,G,Movies,5,,,,s31,Others,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.
Movie,Shang-Chi and The Legend of The Ten Rings,"United States, Australia",November,2021,PG-13,"Action-Adventure, Fantasy, Superhero",134,,,,s32,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","Shang-Chi must confront his father, leader of the Ten Rings organization."
Movie,Spin,Others,November,2021,TV-G,"Coming of Age, Music",94,,,,s33,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",Rhea discovers her passion for creating DJ mixes!
Movie,Tangled Ever After,United States,November,2012,G,"Animation, Family",9,,,,s34,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",It's up to Max and Pascal to save the royal wedding.
Movie,The Ballad of Nessie,Others,November,2011,G,"Animation, Family, Fantasy",8,,,,s35,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,A colorful tale about the friendly Loch Ness monster.
Movie,The Little Matchgirl,United States,November,2006,G,"Animation, Drama",7,,,,s36,Roger Allers,Others,A poor matchgirl sees happy images in the flames of her matches.
Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,Others,November,2021,TV-PG,"Concert Film, Music",30,,,,s37,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles."""
Movie,The Proud Family: Louder and Prouder,Others,November,2021,TV-G,"Animation, Comedy, Coming of Age",1,,,,s38,Others,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022."
Movie,The Simpsons in Plusaversary,Others,November,2021,TV-PG,"Animation, Comedy",6,,,,s39,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",Celebrate Disney+ Day with The Simpsons and their friends from across the service.
Movie,Tick Tock Tale,United States,November,2010,G,"Animation, Crime, Family",6,,,,s40,Dean Wellins,Others,A tale of a quirky mantle clock.
Movie,Under the Helmet: The Legacy of Boba Fett,Others,November,2021,TV-PG,Science Fiction,22,,,,s41,Others,Others,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett."
Movie,Willow,Others,November,2021,TV-PG,"Action-Adventure, Fantasy",3,,,,s42,Others,Others,"Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022."
Movie,Alvin and the Chipmunks: Chipwrecked,United States,November,2011,G,"Comedy, Family, Music",87,,,,s43,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.
